model,accuracy,auc,f1,sensitivity,specificity,precision,true_positives,true_negatives,false_positives,false_negatives,optimal_threshold,optimal_sensitivity,optimal_specificity
alzheimers_rf_tuned,0.518,0.5557,0.2849,0.1928,0.8406,0.5455,48.0,211.0,40.0,201.0,0.4309,0.6586,0.4582
alzheimers_xgboost_tuned,0.528,0.5466,0.5462,0.5703,0.4861,0.524,142.0,122.0,129.0,107.0,0.5819,0.4819,0.6375
alzheimers_logistic_tuned,0.478,0.5046,0.4596,0.4458,0.51,0.4744,111.0,128.0,123.0,138.0,0.9967,0.1486,0.9402
alzheimers_knn_tuned,0.524,0.5179,0.4566,0.4016,0.6454,0.5291,100.0,162.0,89.0,149.0,0.4675,0.4538,0.6175
alzheimers_svm_tuned,0.502,0.4793,0.0,0.0,1.0,0.0,0.0,251.0,0.0,249.0,0.3467,0.0161,0.988
alzheimers_nn_tuned,0.484,0.5019,0.3518,0.2811,0.6853,0.4698,70.0,172.0,79.0,179.0,0.0001,0.8835,0.1873
Ensemble (grid_search),0.508,0.4981,0.3724,0.2932,0.7211,0.5105,73.0,181.0,70.0,176.0,0.5819,0.2209,0.8367
Ensemble (bayesian),0.492,0.4981,0.3682,0.2972,0.6853,0.4837,74.0,172.0,79.0,175.0,0.6055,0.2209,0.8367
Ensemble (fwls),0.784,0.8735,0.7866,0.7992,0.7689,0.7743,199.0,193.0,58.0,50.0,0.3604,0.9116,0.6773
Ensemble (stacking),0.538,0.5591,0.5497,0.5663,0.51,0.5341,141.0,128.0,123.0,108.0,0.4775,0.9036,0.1992
